title,rate,image,director,date
와일드 마운틴 타임,7.52,https://movie-phinf.pstatic.net/20210303_164/1614751855308gqHoY_JPEG/movie_image.jpg?type=m99_141_2,존 패트릭 샌리,2021.03.24 
아일로,9.36,https://movie-phinf.pstatic.net/20210308_189/1615186121315N5aq5_JPEG/movie_image.jpg?type=m99_141_2,기욤 미다체프스키,2021.03.18 
극장판 바이올렛 에버가든,9.48,https://movie-phinf.pstatic.net/20201015_24/1602727813929ObxtV_JPEG/movie_image.jpg?type=m99_141_2,이시다테 타이치,2020.11.12 
아틱,8.29,https://movie-phinf.pstatic.net/20210318_258/1616035627017QhuyS_JPEG/movie_image.jpg?type=m99_141_2,조 페나,2021.04.01 
해변의 에트랑제,8.36,https://movie-phinf.pstatic.net/20210125_20/1611551696077lGGQ8_JPEG/movie_image.jpg?type=m99_141_2,오오하시 아키요,2021.02.18 
빅쇼트,8.54,https://movie-phinf.pstatic.net/20160121_2/14533409853749GqxA_JPEG/movie_image.jpg?type=m99_141_2,아담 맥케이,2016.01.21 
싱크로닉,6.62,https://movie-phinf.pstatic.net/20210322_194/1616394886763SVgGg_JPEG/movie_image.jpg?type=m99_141_2,아론 무어헤드,2021.04.01 
"힘내세요, 병헌씨",8.53,https://movie-phinf.pstatic.net/20130603_290/1370228109944RKPX2_JPEG/movie_image.jpg?type=m99_141_2,이병헌,2013.06.27 
턴: 더 스트릿,9.61,https://movie-phinf.pstatic.net/20210308_204/16151690232671pLCj_JPEG/movie_image.jpg?type=m99_141_2,임석진,2021.03.31 
암모나이트,8.18,https://movie-phinf.pstatic.net/20210223_152/16140611130096PApJ_JPEG/movie_image.jpg?type=m99_141_2,프란시스 리,2021.03.11 
유어 아이즈 텔,9.50,https://movie-phinf.pstatic.net/20210222_177/161395531201843E7a_JPEG/movie_image.jpg?type=m99_141_2,미키 타카히로,2021.03.11 
아이 빌리브,8.77,https://movie-phinf.pstatic.net/20201022_271/1603334316864GIFQv_JPEG/movie_image.jpg?type=m99_141_2,절젼 페렛스키,2020.11.05 
그녀가 사라졌다,8.50,https://movie-phinf.pstatic.net/20210217_83/1613533547319a4Nc6_JPEG/movie_image.jpg?type=m99_141_2,루크 이브,2021.03.17 
